,job name,posted time,job time,job address,company name,link
29,Junior Planning and Budgeting Specialist,10 days ago,Full Time,"Shubra, Cairo, Egypt ",Tamweely ,https://wuzzuf.net/jobs/p/QxAu8Hje6tb3-Junior-Planning-and-Budgeting-Specialist-Tamweely-Cairo-Egypt?o=30&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
30,Process Development Assistants (All Locations in Egypt),5 days ago,Full Time,"Cairo, Egypt ",Trevor Sadd Associates ,https://wuzzuf.net/jobs/p/Zm9mKXt1NVWs-Process-Development-Assistants-All-Locations-in-Egypt-Trevor-Sadd-Associates-Cairo-Egypt?o=31&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
31,Senior Data Insights Specialist,3 days ago,Freelance / Project,"Cairo, Egypt ",WUZZUF ,https://wuzzuf.net/jobs/p/QewilVmKKm8a-Senior-Data-Insights-Specialist-WUZZUF-Cairo-Egypt?o=32&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
32,Senior Financial Analyst,1 day ago,Work From Home,"Dokki, Giza, Egypt ",Future Group ,https://wuzzuf.net/jobs/p/KkOIsznkgJxQ-Senior-Financial-Analyst-Future-Group-Giza-Egypt?o=33&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
33,Quality Assurance Specialist,7 days ago,Full Time,"Dokki, Giza, Egypt ",Future Group ,https://wuzzuf.net/jobs/p/5rQhH03hw23k-Quality-Assurance-Specialist-Future-Group-Giza-Egypt?o=34&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
34,Data Analytics Engineer,1 month ago,Work From Home,"Smart Village, Giza, Egypt ",Dar Al Handasah ,https://wuzzuf.net/jobs/p/qrvyUBYzpj5p-Data-Analytics-Engineer-Dar-Al-Handasah-Giza-Egypt?o=35&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
35,Tele Research Associate (Remote Work),14 days ago,Full Time,"Cairo, Egypt ",BNC Network ,https://wuzzuf.net/jobs/p/U3bAZCwIvkdL-Tele-Research-Associate-Remote-Work-BNC-Network-Cairo-Egypt?o=36&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
36,Business Intelligence Team Leader,12 days ago,Full Time,"Dokki, Giza, Egypt ",Future Group ,https://wuzzuf.net/jobs/p/IqrtUasALbXR-Business-Intelligence-Team-Leader-Future-Group-Giza-Egypt?o=37&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
37,Senior Treasury Analyst,15 days ago,Full Time,"Garden City, Cairo, Egypt ",TAQA Petroleum ,https://wuzzuf.net/jobs/p/hp32WHc5otxr-Senior-Treasury-Analyst-TAQA-Petroleum-Cairo-Egypt?o=38&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
38,Researcher,17 days ago,Full Time,"New Cairo, Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/nxu7try4Hb7f-Researcher-Cairo-Egypt?o=39&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
39,Planning Coordinator,17 days ago,Work From Home,"6th of October, Giza, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/2zHnyKxDRADn-Planning-Coordinator-Giza-Egypt?o=40&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
40,Data Analyst,2 months ago,Full Time,"Nozha, Cairo, Egypt ",GPS ,https://wuzzuf.net/jobs/p/3gKxwLEn2AQf-Data-Analyst-GPS-Cairo-Egypt?o=41&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
41,Account payable Accountant,21 days ago,Work From Home,"Sheraton, Cairo, Egypt ",Roots Management Consultants ,https://wuzzuf.net/jobs/p/jblfLJtlpjic-Account-payable-Accountant-Roots-Management-Consultants-Cairo-Egypt?o=42&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
42,Business Analyst,21 days ago,Full Time,"Maadi, Cairo, Egypt ",Cilantro ,https://wuzzuf.net/jobs/p/8YOY92FomUao-Business-Analyst-Cilantro-Cairo-Egypt?o=43&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
43,E-Commerce & Marketing Data Analyst,2 months ago,Full Time,"New Cairo, Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/jzNIjX873nvy-E-Commerce-Marketing-Data-Analyst-Cairo-Egypt?o=44&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
44,HR Reporting Analyst,22 days ago,Full Time,"Abu Rawash, Giza, Egypt ",Partner & More ,https://wuzzuf.net/jobs/p/LjehaQu2c9ZJ-HR-Reporting-Analyst-Partner-More-Giza-Egypt?o=45&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
45,Data Scientist,23 days ago,Full Time,"Riyadh, Saudi Arabia ",Confidential ,https://wuzzuf.net/jobs/p/OjuPwsoJjnOC-Data-Scientist-Riyadh-Saudi-Arabia?o=46&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
46,Social Media Moderator / Admin,22 days ago,Full Time,"Sheikh Zayed, Giza, Egypt ",Perception for Design & Contracting ,https://wuzzuf.net/jobs/p/wlkOWMTJViC7-Social-Media-Moderator-Admin-Perception-for-Design-Contracting-Giza-Egypt?o=47&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
47,CFO,24 days ago,Full Time,"New Cairo, Cairo, Egypt ",Confidential ,https://wuzzuf.net/jobs/p/IwCOXuPvzXoJ-CFO-Cairo-Egypt?o=48&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
48,Quality Assurance Specialist,24 days ago,Full Time,"New Cairo, Cairo, Egypt ",Masria Digital Payment (MDP) ,https://wuzzuf.net/jobs/p/8YE1frxYV3lk-Quality-Assurance-Specialist-Masria-Digital-Payment-MDP-Cairo-Egypt?o=49&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
49,Senior R&D Analyst- Banha,28 days ago,Full Time,"Banha, Qalubia, Egypt ",Z2 Data ,https://wuzzuf.net/jobs/p/QULmM8c1vDma-Senior-RD-Analyst--Banha-Z2-Data-Qalubia-Egypt?o=50&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
50,Senior Digital Data Analyst (Remote Job),2 months ago,Full Time,"New Cairo, Cairo, Egypt ",Mindfield ,https://wuzzuf.net/jobs/p/HKEQYe3RTJbt-Senior-Digital-Data-Analyst-Remote-Job-Mindfield-Cairo-Egypt?o=51&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
51,Data Center Engineer,24 days ago,Work From Home,"6th of October, Giza, Egypt ",Perfect Presentation ,https://wuzzuf.net/jobs/p/GCjdeXgdcmQf-Data-Center-Engineer-Perfect-Presentation-Giza-Egypt?o=52&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
